school_id,institution_name,province,type,onboarding_status
800008938,"LAERSKOOL AMERSFOORT",Mpumalanga,"Public School (PRIMARY)",unclaimed
800008946,"LAERSKOOL AMSTERDAM",Mpumalanga,"Public School (PRIMARY)",unclaimed
800008953,"LAERSKOOL BADPLAAS",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009043,"LAERSKOOL CHRISSIE",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009068,"LAERSKOOL DAVEL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009134,"LAERSKOOL ERMELO",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009142,"LAERSKOOL GOEDEHOOP",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009175,"LAERSKOOL GREYLINGSTAD",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009183,"LAERSKOOL GROOTVLEI",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009191,"LAERSKOOL H M SWART",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009217,"LAERSKOOL HOËVELD",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009233,"LAERSKOOL JEUGKRAG",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009225,"LAERSKOOL JJ VAN DER MERWE",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009266,"LAERSKOOL KALIE DE HAAS",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009282,"LAERSKOOL KINROSS",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009365,"LAERSKOOL KRUINPARK",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009399,"LAERSKOOL LEANDRA",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009407,"LAERSKOOL LOTHAIR",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009456,"LAERSKOOL MARIETJIE VAN NIEKERK",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009530,"LAERSKOOL ORANJEGLOED",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009563,"LAERSKOOL PIET RETIEF",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009571,"LAERSKOOL PIONIER",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009639,"LAERSKOOL SECUNDA",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009662,"LAERSKOOL STANDERTON",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009720,"LAERSKOOL TRICHARDT",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009761,"LAERSKOOL WITTENBERG",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009779,"LAKE CHRISSIE SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800009787,"LAMAGADLELA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800009803,"LAMLILE PRIMARY SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800009894,"LANGELIHLE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800010264,"LESELI PRIMARY SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800006502,"LETSAKUTHULA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800010363,"LIBHABA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800010389,"LIFALETHU PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800010397,"LIGUGU SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800010447,"LILANGA SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800010488,"LINDILANGA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800010496,"LINDILE SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800010520,"LINDZALOKUHLE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800010579,"LITJELEMBUBE SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800010603,"LOBHENGULA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800010611,"LOCHIEL PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800010686,"LOTHAIR PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800010843,"LUNGELO COMBINED SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800010884,"LUSUSHWANA SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800011130,"MABOLA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800011148,"MABOMBE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800011254,"MADI  SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800011361,"MADOLA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800011403,"MADZANGA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
