school_id,institution_name,province,type,onboarding_status
ZAF-P-600100699,"KGOSITHEBE COMBINED SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100702,"KGWANYAPE PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100705,"KHAYALETHU PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100706,"KHAYALETHU SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100710,"KHOTHALO PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100719,"KHUMOSEJO MIDDLE SCHOOL",North West,"Public School (COMBINED SCHOOL)",unclaimed
ZAF-P-600100720,"KHUNOTSWANE PRIMARY",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-I-600100724,"KINGS WAY CHRISTIAN SCHOOL",North West,"Independent School",unclaimed
ZAF-P-600100725,"KISMET COMBINED SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100726,"KITLANANG MIDDLE SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-I-600105428,"KITSONG INDEPENDENT SCHOOL",North West,"Independent School",unclaimed
ZAF-P-600100732,"KLERKSDORP PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100731,"KLERKSDORP SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100736,"KLIPGAT SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600105076,"KLOOF VIEW PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600105170,"KOKETSO PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100751,"KOLONG PUBLIC PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100753,"KOMANE PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100758,"KOPANANG PRIMARY",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100759,"KOPANELO COMBINED SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600105066,"KOPANELO SECONDARY",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100766,"KOSEA MOEKA PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100767,"KOSTER INTERMEDIATE SCHOOL",North West,"Public School (COMBINED SCHOOL)",unclaimed
ZAF-P-600100768,"KOSTER SKOOL GEKOMBINEERD",North West,"Public School (COMBINED SCHOOL)",unclaimed
ZAF-P-600100770,"KROMELLENBOOG COMBINED SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100771,"KROONDAL PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100783,"KUTLWANO COMBINED SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
